trialIter,trialID,valid_cue,target_id,soa,cue_type,side,pic_version,pic_category,pic_type,pic_id,cue_category,cue_version,pic_file,cue_file,block
1,108,1,108,.7,label,right,B,bird,song,1,bird,B,bird_song_1,bird_label_B,0
1,137,1,137,.9,label,right,B,drum,bongo,2,drum,B,drum_bongo_2,drum_label_B,0
1,185,0,41,.7,label,right,A,drum,kit,2,phone,A,drum_kit_2,phone_label_A,0
1,238,0,94,.6,label,right,B,motor,harley,1,bird,B,motor_harley_1,bird_label_B,0
1,69,1,69,.9,label,right,A,phone,cell,2,phone,A,phone_cell_2,phone_label_A,0
1,160,0,16,.6,label,right,A,drum,kit,1,motor,A,drum_kit_1,motor_label_A,0
1,113,1,113,.7,label,right,B,drum,bongo,2,drum,B,drum_bongo_2,drum_label_B,0
1,86,1,86,.6,label,right,B,dog,york,1,dog,B,dog_york_1,dog_label_B,0
1,159,0,15,.6,label,right,A,dog,rott,2,bird,A,dog_rott_2,bird_label_A,0
1,67,1,67,.9,label,right,A,guitar,electric,2,guitar,A,guitar_electric_2,guitar_label_A,0
1,187,0,43,.7,label,right,A,guitar,electric,2,bird,A,guitar_electric_2,bird_label_A,0
1,41,1,41,.7,label,right,A,drum,kit,2,drum,A,drum_kit_2,drum_label_A,0
1,241,0,97,.7,label,left,B,bird,song,2,motor,B,bird_song_2,motor_label_B,0
1,89,1,89,.6,label,right,B,drum,bongo,2,drum,B,drum_bongo_2,drum_label_B,0
1,169,0,25,.7,label,left,A,bird,hawk,2,guitar,A,bird_hawk_2,guitar_label_A,0
1,221,0,77,.6,label,left,B,drum,bongo,2,motor,B,drum_bongo_2,motor_label_B,0
1,26,1,26,.7,label,left,A,dog,rott,1,dog,A,dog_rott_1,dog_label_A,0
1,152,0,8,.6,label,left,A,phone,cell,1,bird,A,phone_cell_1,bird_label_A,0
1,19,1,19,.6,label,right,A,guitar,electric,2,guitar,A,guitar_electric_2,guitar_label_A,0
1,250,0,106,.7,label,left,B,motor,harley,1,drum,B,motor_harley_1,drum_label_B,0
1,231,0,87,.6,label,right,B,dog,york,2,guitar,B,dog_york_2,guitar_label_B,0
1,267,0,123,.9,label,left,B,dog,york,2,phone,B,dog_york_2,phone_label_B,0
1,127,1,127,.9,label,left,B,guitar,acoustic,2,guitar,B,guitar_acoustic_2,guitar_label_B,0
1,111,1,111,.7,label,right,B,dog,york,2,dog,B,dog_york_2,dog_label_B,0
1,128,1,128,.9,label,left,B,phone,rotary,1,phone,B,phone_rotary_1,phone_label_B,0
1,213,0,69,.9,label,right,A,phone,cell,2,bird,A,phone_cell_2,bird_label_A,0
